,Scientific Name,Accepted Name,Jepson Common Name,Status,Jepson Link,CNPS Common Name,Family,Lifeform,CRPR,SRank,CESA,NatureServe Common Name,Species Group,NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,Distribution,View on NatureServe Explorer,searchName
14170,Ranunculus sceleratus var. sceleratus,Ranunculus sceleratus var. sceleratus,,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=64987,,,,,,,Cursed Crowfoot,Flowering Plants - Dicots,G5T5,T5,,"Canada: AB, BC, MB, NB, NS, ON, PE, QC, SK
United States: AK, AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159023/Ranunculus_sceleratus_var_sceleratus,Ranunculus sceleratus * sceleratus
14174,Ranunculus trilobus,Ranunculus trilobus,,Extirpated waif,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=40979,,,,,,,Three-lobe Buttercup,Flowering Plants - Dicots,GNR,GNR,,"United States: AL, FL, LA, SC, TX",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.153686/Ranunculus_trilobus,Ranunculus trilobus
14175,Ranunculus uncinatus,Ranunculus uncinatus,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=40981,,,,,,,Woodland Buttercup,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, NT
United States: AK, AZ, CA, CO, ID, MT, NM, NV, OR, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137089/Ranunculus_uncinatus,Ranunculus uncinatus
14176,Ranunculus bongardii,Ranunculus uncinatus,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=40981,,,,,,,Woodland Buttercup,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, NT
United States: AK, AZ, CA, CO, ID, MT, NM, NV, OR, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137089/Ranunculus_uncinatus,Ranunculus bongardii
14177,Ranunculus uncinatus var. parviflorus,Ranunculus uncinatus,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=40981,,,,,,,Woodland Buttercup,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, NT
United States: AK, AZ, CA, CO, ID, MT, NM, NV, OR, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137089/Ranunculus_uncinatus,Ranunculus uncinatus * parviflorus
14178,Raphanus raphanistrum,Raphanus raphanistrum,Jointed Charlock,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=40991,,,,,,,Wild Radish,Flowering Plants - Dicots,GNR,GNR,,"Canada: AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK
United States: AL, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140911/Raphanus_raphanistrum,Raphanus raphanistrum
14179,Raphanus sativus,Raphanus sativus,Radish,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=40992,,,,,,,Garden Radish,Flowering Plants - Dicots,GNR,GNR,,"Canada: BC, MB, NB, NS, ON, PE, SK
United States: AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SC, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.141517/Raphanus_sativus,Raphanus sativus
14180,Rapistrum rugosum,Rapistrum rugosum,,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=40994,,,,,,,Grenade,Flowering Plants - Dicots,GNR,GNR,,"Canada: ON
United States: CA, HI, IL, IN, LA, MA, MO, NJ, NM, NV, NY, PA, TN, TX, VA, WI",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.128453/Rapistrum_rugosum,Rapistrum rugosum
14181,Ratibida columnifera,Ratibida columnifera,,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=4560,,,,,,,Upright Prairie Coneflower,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, MB, ON, SK
United States: AL, AR, AZ, CO, CT, DE, FL, GA, IA, ID, IL, IN, KS, LA, MA, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NY, OH, OK, PA, SC, SD, TX, UT, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132502/Ratibida_columnifera,Ratibida columnifera
14182,Ratibida columnaris var. pulcherrima,Ratibida columnifera,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=4560,,,,,,,Upright Prairie Coneflower,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, MB, ON, SK
United States: AL, AR, AZ, CO, CT, DE, FL, GA, IA, ID, IL, IN, KS, LA, MA, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NY, OH, OK, PA, SC, SD, TX, UT, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132502/Ratibida_columnifera,Ratibida columnaris * pulcherrima
