,Scientific Name,Accepted Name,Jepson Common Name,Status,Jepson Link,CNPS Common Name,Family,Lifeform,CRPR,SRank,CESA,NatureServe Common Name,Species Group,NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,Distribution,View on NatureServe Explorer,searchName
0,Abies amabilis,Abies amabilis,Pacific Silver Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11520,Pacific silver fir,Pinaceae,perennial evergreen tree,2B.3,S2,None,Pacific Silver Fir,Conifers and relatives - Conifers,G5,G5,,"Canada: BC
United States: AK, CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143719/Abies_amabilis,Abies amabilis
1,Abies bracteata,Abies bracteata,Bristlecone Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11522,bristlecone fir,Pinaceae,perennial evergreen tree,1B.3,S2S3,None,Bristlecone Fir,Conifers and relatives - Conifers,G2G3,G2,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138821/Abies_bracteata,Abies bracteata
2,Abies venusta,Abies bracteata,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11522,,,,,,,Bristlecone Fir,Conifers and relatives - Conifers,G2G3,G2,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138821/Abies_bracteata,Abies venusta
3,Abies concolor var. concolor,Abies concolor,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11524,,,,,,,White Fir,Conifers and relatives - Conifers,G5,G5,,"United States: AZ, CA, CO, ID, MA, ME, NM, NN, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137897/Abies_concolor,Abies concolor * concolor
4,Abies concolor var. lowiana,Abies concolor,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11524,,,,,,,White Fir,Conifers and relatives - Conifers,G5,G5,,"United States: AZ, CA, CO, ID, MA, ME, NM, NN, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137897/Abies_concolor,Abies concolor * lowiana
5,Abies concolor,Abies concolor,White Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11524,,,,,,,White Fir,Conifers and relatives - Conifers,G5,G5,,"United States: AZ, CA, CO, ID, MA, ME, NM, NN, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137897/Abies_concolor,Abies concolor
6,Abies lowiana,Abies concolor,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11524,,,,,,,White Fir,Conifers and relatives - Conifers,G5,G5,,"United States: AZ, CA, CO, ID, MA, ME, NM, NN, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137897/Abies_concolor,Abies lowiana
7,Abies grandis,Abies grandis,Grand Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11526,,,,,,,Grand Fir,Conifers and relatives - Conifers,G5,G5,,"Canada: BC
United States: CA, ID, MT, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146468/Abies_grandis,Abies grandis
8,Abies bifolia,Abies lasiocarpa var. lasiocarpa,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53444,,,,,,,Subalpine Fir,Conifers and relatives - Conifers,G5T5,T5,,"Canada: AB, BC, YT
United States: AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134599/Abies_lasiocarpa_var_lasiocarpa,Abies bifolia
9,Abies lasiocarpa var. lasiocarpa,Abies lasiocarpa var. lasiocarpa,Subalpine Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53444,subalpine fir,Pinaceae,perennial evergreen tree,2B.3,S3,None,Subalpine Fir,Conifers and relatives - Conifers,G5T5,T5,,"Canada: AB, BC, YT
United States: AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134599/Abies_lasiocarpa_var_lasiocarpa,Abies lasiocarpa * lasiocarpa
10,Abies magnifica,Abies magnifica,California Red Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11529,,,,,,,California Red Fir,Conifers and relatives - Conifers,G5,G5,,"United States: CA, NV, NY, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142119/Abies_magnifica,Abies magnifica
15,Abies procera,Abies procera,Noble Fir,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11531,,,,,,,Noble Fir,Conifers and relatives - Conifers,G5,G5,,"United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159773/Abies_procera,Abies procera
17,Abronia alpina,Abronia alpina,Ramshaw Meadows Abronia,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11537,Ramshaw Meadows abronia,Nyctaginaceae,perennial herb,1B.1,S2,None,Ramshaw Meadows Sand-verbena,Flowering Plants - Dicots,G2,G2,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.134469/Abronia_alpina,Abronia alpina
18,Abronia latifolia,Abronia latifolia,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11552,,,,,,,Yellow Sand-verbena,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152709/Abronia_latifolia,Abronia latifolia
19,Abronia maritima,Abronia maritima,Red Sand-Verbena,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11554,red sand-verbena,Nyctaginaceae,perennial herb,4.2,S3?,None,Red Sand-verbena,Flowering Plants - Dicots,G4,G4,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.159718/Abronia_maritima,Abronia maritima
20,Abronia nana var. nana,Abronia nana var. covillei,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53450,,,,,,,Dwarf Sand-verbena,Flowering Plants - Dicots,G4T3,T3,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131002/Abronia_nana_var_covillei,Abronia nana * nana
21,Abronia nana var. covillei,Abronia nana var. covillei,Coville'S Dwarf Abronia,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53450,Coville's dwarf abronia,Nyctaginaceae,perennial herb,4.2,S3,None,Dwarf Sand-verbena,Flowering Plants - Dicots,G4T3,T3,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131002/Abronia_nana_var_covillei,Abronia nana * covillei
22,Abronia nana subsp. covillei,Abronia nana var. covillei,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53450,,,,,,,Dwarf Sand-verbena,Flowering Plants - Dicots,G4T3,T3,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.131002/Abronia_nana_var_covillei,Abronia nana * covillei
23,Abronia pogonantha,Abronia pogonantha,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11560,,,,,,,Mojave Sand-verbena,Flowering Plants - Dicots,G3G4,G3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133175/Abronia_pogonantha,Abronia pogonantha
24,Abronia turbinata,Abronia turbinata,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11561,,,,,,,Transmontane Sand-verbena,Flowering Plants - Dicots,G5,G5,,"United States: CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148355/Abronia_turbinata,Abronia turbinata
28,Abronia umbellata var. acutalata,Abronia umbellata,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11564,,,,,,,Beach Sand-verbena,Flowering Plants - Dicots,G4G5,G4,,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143788/Abronia_umbellata,Abronia umbellata * acutalata
29,Abronia umbellata,Abronia umbellata,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11564,,,,,,,Beach Sand-verbena,Flowering Plants - Dicots,G4G5,G4,,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143788/Abronia_umbellata,Abronia umbellata
30,Abronia umbellata subsp. alba,Abronia umbellata,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11564,,,,,,,Beach Sand-verbena,Flowering Plants - Dicots,G4G5,G4,,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143788/Abronia_umbellata,Abronia umbellata * alba
31,Abronia umbellata subsp. platyphylla,Abronia umbellata,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11564,,,,,,,Beach Sand-verbena,Flowering Plants - Dicots,G4G5,G4,,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143788/Abronia_umbellata,Abronia umbellata * platyphylla
32,Abronia umbellata subsp. variabilis,Abronia umbellata,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11564,,,,,,,Beach Sand-verbena,Flowering Plants - Dicots,G4G5,G4,,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143788/Abronia_umbellata,Abronia umbellata * variabilis
33,Abronia umbellata var. breviflora,Abronia umbellata var. breviflora,Pink Sand-Verbena,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=81822,pink sand-verbena,Nyctaginaceae,perennial herb,1B.1,S2,None,Pink Sand-verbena,Flowering Plants - Dicots,G4G5T2,T2,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.806972/Abronia_umbellata_var_breviflora,Abronia umbellata * breviflora
34,Abronia umbellata subsp. breviflora,Abronia umbellata var. breviflora,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=81822,,,,,,,Pink Sand-verbena,Flowering Plants - Dicots,G4G5T2,T2,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.806972/Abronia_umbellata_var_breviflora,Abronia umbellata * breviflora
37,Abronia villosa,Abronia villosa,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11568,,,,,,,Sticky Sand-verbena,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, NN, NV, UT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.136324/Abronia_villosa,Abronia villosa
38,Abronia villosa var. aurita,Abronia villosa var. aurita,Chaparral Sand-Verbena,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53455,chaparral sand-verbena,Nyctaginaceae,annual herb,1B.1,S2,None,Desert Sand-verbena,Flowering Plants - Dicots,G5T2T3,T2,,"United States: AZ, CA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143391/Abronia_villosa_var_aurita,Abronia villosa * aurita
39,Abronia villosa var. villosa,Abronia villosa var. villosa,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53456,,,,,,,Desert Sand-verbena,Flowering Plants - Dicots,G5T3T5,T4,,"United States: AZ, CA, NV, UT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138425/Abronia_villosa_var_villosa,Abronia villosa * villosa
40,Abutilon palmeri,Abutilon palmeri,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11599,,,,,,,Santa Catalina Mountain Indian-mallow,Flowering Plants - Dicots,G4G5,G4,,"United States: AZ, CA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.128069/Abutilon_palmeri,Abutilon palmeri
41,Abutilon parvulum,Abutilon parvulum,Dwarf Abutilon,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11601,dwarf abutilon,Malvaceae,perennial herb,2B.3,S2S3,None,Dwarf Indian-mallow,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, CO, NM, NV, TX, UT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.141922/Abutilon_parvulum,Abutilon parvulum
42,Abutilon theophrasti,Abutilon theophrasti,Velvet-Leaf,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11605,,,,,,,Velvetleaf,Flowering Plants - Dicots,GNR,GNR,,"Canada: AB, BC, MB, NB, NS, ON, PE, QC, SK
United States: AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137892/Abutilon_theophrasti,Abutilon theophrasti
47,Acacia baileyana,Acacia baileyana,Cootamundra Wattle,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11625,,,,,,,Cootamundra Wattle,Flowering Plants - Dicots,GNR,GNR,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146860/Acacia_baileyana,Acacia baileyana
49,Acacia dealbata,Acacia dealbata,Silver Wattle,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11633,,,,,,,Silver Wattle,Flowering Plants - Dicots,GNR,GNR,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143384/Acacia_dealbata,Acacia dealbata
50,Acacia decurrens var. dealbata,Acacia dealbata,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11633,,,,,,,Silver Wattle,Flowering Plants - Dicots,GNR,GNR,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143384/Acacia_dealbata,Acacia decurrens * dealbata
51,Acacia decurrens,Acacia decurrens,Green Wattle,Waif,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11634,,,,,,,Greene's Wattle,Flowering Plants - Dicots,GNR,GNR,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.128268/Acacia_decurrens,Acacia decurrens
52,Acacia longifolia,Acacia longifolia,Sydney Golden Wattle,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11642,,,,,,,Sydney Golden Wattle,Flowering Plants - Dicots,GNR,GNR,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129681/Acacia_longifolia,Acacia longifolia
53,Acacia mearnsii,Acacia mearnsii,Black Wattle,Waif,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11645,,,,,,,Black Wattle,Flowering Plants - Dicots,GNR,GNR,,"United States: CA, HI",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.150031/Acacia_mearnsii,Acacia mearnsii
54,Acacia melanoxylon,Acacia melanoxylon,Blackwood Acacia,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11646,,,,,,,Blackwood Acacia,Flowering Plants - Dicots,GNR,GNR,,"United States: CA, HI",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.155475/Acacia_melanoxylon,Acacia melanoxylon
57,Acacia podalyriifolia,Acacia podalyriifolia,Queensland Silver Wattle,Waif,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11657,,,,,,,Pearl Wattle,Flowering Plants - Dicots,GNR,GNR,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154785/Acacia_podalyriifolia,Acacia podalyriifolia
59,Acacia redolens,Acacia redolens,Vanilla-Scented Wattle,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11661,,,,,,,Bank Catclaw,Flowering Plants - Dicots,GNR,GNR,,"United States: AZ, CA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.145111/Acacia_redolens,Acacia redolens
60,Acacia retinodes,Acacia retinodes,Everblooming Wattle,Waif,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11662,,,,,,,Water Wattle,Flowering Plants - Dicots,GNR,GNR,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.156146/Acacia_retinodes,Acacia retinodes
61,Acacia saligna,Acacia saligna,Golden Wreath Wattle,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11671,,,,,,,Orange Wattle,Flowering Plants - Dicots,G5,G5,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129534/Acacia_saligna,Acacia saligna
62,Acacia verticillata,Acacia verticillata,"Star Acacia, Prickly Moses",Waif,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11680,,,,,,,Prickly-Moses,Flowering Plants - Dicots,GNR,GNR,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.148347/Acacia_verticillata,Acacia verticillata
63,Acaena anserinifolia,Acaena novae-zelandiae,,Misapplied name,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11687,,,,,,,Biddy-Biddy,Flowering Plants - Dicots,GNR,GNR,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.859735/Acaena_novae-zelandiae,Acaena anserinifolia
64,Acaena novae-zelandiae,Acaena novae-zelandiae,Biddy-Biddy,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11687,,,,,,,Biddy-Biddy,Flowering Plants - Dicots,GNR,GNR,,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.859735/Acaena_novae-zelandiae,Acaena novae-zelandiae
65,Acaena pallida,Acaena pallida,,Naturalized,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=79220,,,,,,,Pale Biddy-Biddy,Flowering Plants - Dicots,GNR,GNR,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.859739/Acaena_pallida,Acaena pallida
66,Acaena pinnatifida var. californica,Acaena pinnatifida var. californica,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=77205,,,,,,,California Sheepbur,Flowering Plants - Dicots,GNRT3?Q,T3,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146862/Acaena_pinnatifida_var_californica,Acaena pinnatifida * californica
67,Acalypha californica,Acalypha californica,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11696,,,,,,,California Copperleaf,Flowering Plants - Dicots,G4,G4,,"United States: AZ, CA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.736377/Acalypha_californica,Acalypha californica
68,Acamptopappus shockleyi,Acamptopappus shockleyi,Shockley'S Goldenhead,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=668,,,,,,,Shockley's Goldenhead,Flowering Plants - Dicots,G3?,G3,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152541/Acamptopappus_shockleyi,Acamptopappus shockleyi
69,Acamptopappus sphaerocephalus,Acamptopappus sphaerocephalus,Rayless Goldenhead,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=669,,,,,,,Rayless Goldenhead,Flowering Plants - Dicots,G5,G5,,"United States: AZ, CA, NV, UT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.132356/Acamptopappus_sphaerocephalus,Acamptopappus sphaerocephalus
70,Acamptopappus sphaerocephalus var. hirtellus,Acamptopappus sphaerocephalus var. hirtellus,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=6266,,,,,,,Rayless Goldenhead,Flowering Plants - Dicots,G5T4?,T4,,"United States: CA, NV",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140578/Acamptopappus_sphaerocephalus_var_hirtellus,Acamptopappus sphaerocephalus * hirtellus
71,Acamptopappus sphaerocephalus var. sphaerocephalus,Acamptopappus sphaerocephalus var. sphaerocephalus,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=6267,,,,,,,Rayless Goldenhead,Flowering Plants - Dicots,G5T3T5,T4,,"United States: AZ, CA, NV, UT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.145265/Acamptopappus_sphaerocephalus_var_sphaerocephalus,Acamptopappus sphaerocephalus * sphaerocephalus
72,Acanthomintha duttonii,Acanthomintha duttonii,San Mateo Thornmint,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11724,San Mateo thorn-mint,Lamiaceae,annual herb,1B.1,S1,CE,San Mateo Thornmint,Flowering Plants - Dicots,G1,G1,Endangered,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135577/Acanthomintha_duttonii,Acanthomintha duttonii
73,Acanthomintha obovata subsp. duttonii,Acanthomintha duttonii,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11724,,,,,,,San Mateo Thornmint,Flowering Plants - Dicots,G1,G1,Endangered,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.135577/Acanthomintha_duttonii,Acanthomintha obovata * duttonii
74,Acanthomintha ilicifolia,Acanthomintha ilicifolia,San Diego Thornmint,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11725,San Diego thorn-mint,Lamiaceae,annual herb,1B.1,S1,CE,San Diego Thornmint,Flowering Plants - Dicots,G1,G1,Threatened,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.151284/Acanthomintha_ilicifolia,Acanthomintha ilicifolia
75,Acanthomintha lanceolata,Acanthomintha lanceolata,Santa Clara Thornmint,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11726,Santa Clara thorn-mint,Lamiaceae,annual herb,4.2,S4,None,Santa Clara Thornmint,Flowering Plants - Dicots,G4,G4,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.142162/Acanthomintha_lanceolata,Acanthomintha lanceolata
76,Acanthomintha obovata,Acanthomintha obovata,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11727,,,,,,,San Benito Thornmint,Flowering Plants - Dicots,G4,G4,,United States: CA,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129283/Acanthomintha_obovata,Acanthomintha obovata
92,Acer campestre,Acer campestre,Hedge Maple,Waif,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11732,,,,,,,Hedge Maple,Flowering Plants - Dicots,GNR,GNR,,"Canada: ON, PE
United States: MA, NY, PA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.146920/Acer_campestre,Acer campestre
93,Acer circinatum,Acer circinatum,Vine Maple,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11733,,,,,,,Vine Maple,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: AK, CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.140940/Acer_circinatum,Acer circinatum
94,Acer glabrum var. douglasii,Acer glabrum,,Mentioned in a note,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11736,,,,,,,Mountain Maple,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC
United States: AK, AZ, CA, CO, ID, MT, NE, NM, NN, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138747/Acer_glabrum,Acer glabrum * douglasii
96,Acer glabrum,Acer glabrum,Mountain Maple,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11736,,,,,,,Mountain Maple,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC
United States: AK, AZ, CA, CO, ID, MT, NE, NM, NN, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.138747/Acer_glabrum,Acer glabrum
97,Acer glabrum var. diffusum,Acer glabrum var. diffusum,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53494,,,,,,,Mountain Maple,Flowering Plants - Dicots,G5T4T5,T4,,"United States: AZ, CA, NV, UT",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.137683/Acer_glabrum_var_diffusum,Acer glabrum * diffusum
98,Acer glabrum var. glabrum,Acer glabrum var. glabrum,,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53496,,,,,,,Mountain Maple,Flowering Plants - Dicots,G5T5,T5,,"United States: AZ, CO, ID, MT, NE, NM, NV, UT, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133534/Acer_glabrum_var_glabrum,Acer glabrum * glabrum
99,Acer glabrum var. greenei,Acer glabrum var. glabrum,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53496,,,,,,,Mountain Maple,Flowering Plants - Dicots,G5T5,T5,,"United States: AZ, CO, ID, MT, NE, NM, NV, UT, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133534/Acer_glabrum_var_glabrum,Acer glabrum * greenei
100,Acer glabrum var. torreyi,Acer glabrum var. glabrum,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=53496,,,,,,,Mountain Maple,Flowering Plants - Dicots,G5T5,T5,,"United States: AZ, CO, ID, MT, NE, NM, NV, UT, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.133534/Acer_glabrum_var_glabrum,Acer glabrum * torreyi
101,Acer macrophyllum,Acer macrophyllum,Big-Leaf Maple,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11746,,,,,,,Bigleaf Maple,Flowering Plants - Dicots,G5,G5,,"Canada: BC
United States: CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.143337/Acer_macrophyllum,Acer macrophyllum
102,Acer negundo,Acer negundo,Box Elder,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11747,,,,,,,Box-elder,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, MB, NB, NS, NT, ON, PE, QC, SK, YT
United States: AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157048/Acer_negundo,Acer negundo
103,Acer negundo var. arizonicum,Acer negundo,,Synonym,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=11747,,,,,,,Box-elder,Flowering Plants - Dicots,G5,G5,,"Canada: AB, BC, MB, NB, NS, NT, ON, PE, QC, SK, YT
United States: AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.157048/Acer_negundo,Acer negundo * arizonicum
