accepted,Scientific Name,Accepted Name,Jepson Common Name,Status,Jepson Link,CNPS Common Name,Family,Lifeform,CRPR,SRank,CESA,NatureServe Common Name,Species Group,NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,Distribution,View on NatureServe Explorer,searchName,genbank,seqs
1,Carex lyngbyei,Carex lyngbyei,Lyngbye'S Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17588,Lyngbye's sedge,Cyperaceae,perennial rhizomatous herb,2B.2,S3,None,Lyngbye's Sedge,Flowering Plants - Monocots,G5,G5,NA,"Canada: BC
United States: AK, CA, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129613/Carex_lyngbyei,Carex lyngbyei,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+lyngbyei%22%5BOrganism%5D+OR+%22Carex+lyngbyei%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,26
1,Carex mariposana,Carex mariposana,Mariposa Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17607,NA,NA,NA,NA,NA,NA,Mariposa Sedge,Flowering Plants - Monocots,G5,G5,NA,"United States: AZ, CA, ID, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.152175/Carex_mariposana,Carex mariposana,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+mariposana%22%5BOrganism%5D+OR+%22Carex+mariposana%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,13
1,Carex mendocinensis,Carex mendocinensis,Mendocino Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17616,NA,NA,NA,NA,NA,NA,Mendocino Sedge,Flowering Plants - Monocots,G5,G5,NA,"United States: CA, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.156318/Carex_mendocinensis,Carex mendocinensis,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+mendocinensis%22%5BOrganism%5D+OR+%22Carex+mendocinensis%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,7
1,Carex mertensii,Carex mertensii,Mertens' Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17619,NA,NA,NA,NA,NA,NA,Mertens' Sedge,Flowering Plants - Monocots,G5,G5,NA,"Canada: AB, BC
United States: AK, CA, ID, MT, OR, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.130801/Carex_mertensii,Carex mertensii,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+mertensii%22%5BOrganism%5D+OR+%22Carex+mertensii%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,31
1,Carex microptera,Carex microptera,Small-Winged Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17628,NA,NA,NA,NA,NA,NA,Small-wing Sedge,Flowering Plants - Monocots,G5,G5,NA,"Canada: AB, BC, MB, NT, SK, YT
United States: AZ, CA, CO, ID, MT, NM, OR, SD, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.147817/Carex_microptera,Carex microptera,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+microptera%22%5BOrganism%5D+OR+%22Carex+microptera%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,32
1,Carex multicaulis,Carex multicaulis,Stick Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17641,NA,NA,NA,NA,NA,NA,Many-stem Sedge,Flowering Plants - Monocots,G5,G5,NA,"United States: CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.145740/Carex_multicaulis,Carex multicaulis,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+multicaulis%22%5BOrganism%5D+OR+%22Carex+multicaulis%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,8
1,Carex multicostata,Carex multicostata,Many-Ribbed Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17642,NA,NA,NA,NA,NA,NA,Many-ribbed Sedge,Flowering Plants - Monocots,G5,G5,NA,"United States: CA, ID, MT, NV, OR, UT, WA",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.155355/Carex_multicostata,Carex multicostata,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+multicostata%22%5BOrganism%5D+OR+%22Carex+multicostata%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,7
1,Carex nebrascensis,Carex nebrascensis,Nebraska Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17650,NA,NA,NA,NA,NA,NA,Nebraska Sedge,Flowering Plants - Monocots,G5,G5,NA,"Canada: AB
United States: AZ, CA, CO, ID, IL, KS, MO, MT, ND, NE, NM, NV, OR, PA, SD, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.154663/Carex_nebrascensis,Carex nebrascensis,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+nebrascensis%22%5BOrganism%5D+OR+%22Carex+nebrascensis%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,14
1,Carex nervina,Carex nervina,Sierra Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17658,NA,NA,NA,NA,NA,NA,Sierra Sedge,Flowering Plants - Monocots,G5,G5,NA,"United States: CA, NV, OR",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.129763/Carex_nervina,Carex nervina,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+nervina%22%5BOrganism%5D+OR+%22Carex+nervina%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,8
1,Carex neurophora,Carex neurophora,Veined Or Alpine Nerved Sedge,Native,https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=17659,NA,NA,NA,NA,NA,NA,Alpine-nerved Sedge,Flowering Plants - Monocots,G4,G4,NA,"United States: CA, CO, ID, MT, NV, OR, UT, WA, WY",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.139488/Carex_neurophora,Carex neurophora,https://www.ncbi.nlm.nih.gov/nuccore/?term=(%22Carex+neurophora%22%5BOrganism%5D+OR+%22Carex+neurophora%22%5BAll+Fields%5D)+AND+plants%5Bfilter%5D,11
