,Scientific.Name,seqs,Species.Group,CRPR,Literature.Count,area
1,Abies amabilis,86,Conifers and relatives - Conifers,2B.3,8390,40717.44168
2,Abies bracteata,84,Conifers and relatives - Conifers,1B.3,477,4552.260561
3,Abies concolor,148,Conifers and relatives - Conifers,native,14935,196000.1075
4,Abies grandis,177,Conifers and relatives - Conifers,native,14700,439546.0475
5,Abies lasiocarpa var. lasiocarpa,1,Conifers and relatives - Conifers,2B.3,467,8598.714393
6,Abies magnifica,87,Conifers and relatives - Conifers,native,3770,24278.72299
7,Abies procera,67,Conifers and relatives - Conifers,native,3410,158064.6028
8,Abronia alpina,1,Flowering Plants - Dicots,1B.1,49,252.9033645
9,Abronia latifolia,3,Flowering Plants - Dicots,native,370,32371.63066
10,Abronia maritima,0,Flowering Plants - Dicots,4.2,384,45775.50897
11,Abronia nana var. covillei,1,Flowering Plants - Dicots,4.2,28,3034.840374
12,Abronia pogonantha,1,Flowering Plants - Dicots,native,35,15427.10523
13,Abronia turbinata,1,Flowering Plants - Dicots,native,56,11633.55477
14,Abronia umbellata,759,Flowering Plants - Dicots,native,496,26049.04654
15,Abronia umbellata var. breviflora,1,Flowering Plants - Dicots,1B.1,242,1517.420187
16,Abronia villosa,2,Flowering Plants - Dicots,native,273,58420.6772
17,Abronia villosa var. aurita,0,Flowering Plants - Dicots,1B.1,26,7587.100935
18,Abronia villosa var. villosa,1,Flowering Plants - Dicots,native,14,16185.81533
19,Abutilon palmeri,3,Flowering Plants - Dicots,native,86,32624.53402
20,Abutilon parvulum,1,Flowering Plants - Dicots,2B.3,66,16438.71869
21,Abutilon theophrasti,150,Flowering Plants - Dicots,weed,18900,235200.1292
22,Acacia baileyana,122,Flowering Plants - Dicots,weed,1050,66152.2944
23,Acacia dealbata,317,Flowering Plants - Dicots,weed,7925,662859.7184
24,Acacia decurrens,108,Flowering Plants - Dicots,weed,3510,9899.360275
25,Acacia longifolia,119,Flowering Plants - Dicots,weed,4400,75943.26751
26,Acacia mearnsii,177,Flowering Plants - Dicots,weed,15200,90431.01741
27,Acacia melanoxylon,133,Flowering Plants - Dicots,weed,8560,499484.1449
28,Acacia podalyriifolia,35,Flowering Plants - Dicots,weed,518,26446.46614
29,Acacia redolens,18,Flowering Plants - Dicots,weed,84,4913.551086
30,Acacia retinodes,34,Flowering Plants - Dicots,weed,802,39163.89248
31,Acacia saligna,260,Flowering Plants - Dicots,weed,7020,98379.40887
32,Acacia verticillata,69,Flowering Plants - Dicots,weed,530,62683.90539
33,Acaena novae-zelandiae,19,Flowering Plants - Dicots,weed,797,101631.0236
34,Acaena pallida,6,Flowering Plants - Dicots,weed,34,4046.453835
35,Acaena pinnatifida var. californica,2,Flowering Plants - Dicots,native,12,6069.680748
36,Acalypha californica,17,Flowering Plants - Dicots,native,136,56144.54692
37,Acamptopappus shockleyi,8,Flowering Plants - Dicots,native,151,12392.26486
38,Acamptopappus sphaerocephalus,6,Flowering Plants - Dicots,native,244,26301.94991
39,Acamptopappus sphaerocephalus var. hirtellus,1,Flowering Plants - Dicots,native,8,7081.294206
40,Acamptopappus sphaerocephalus var. sphaerocephalus,1,Flowering Plants - Dicots,native,1,9863.231216
41,Acanthomintha duttonii,5,Flowering Plants - Dicots,1B.1,51,252.9033645
42,Acanthomintha ilicifolia,6,Flowering Plants - Dicots,1B.1,120,6828.390842
43,Acanthomintha lanceolata,12,Flowering Plants - Dicots,4.2,28,4805.163926
44,Acanthomintha obovata,6,Flowering Plants - Dicots,native,35,2023.226916
45,Acer campestre,432,Flowering Plants - Dicots,weed,21200,156041.376
46,Acer circinatum,27,Flowering Plants - Dicots,native,3120,114818.1275
47,Acer glabrum,47,Flowering Plants - Dicots,native,2780,153006.5355
48,Acer glabrum var. diffusum,1,Flowering Plants - Dicots,native,15,8092.907664
49,Acer glabrum var. glabrum,2,Flowering Plants - Dicots,native,86,12139.3615
50,Acer macrophyllum,42,Flowering Plants - Dicots,native,6110,199287.8512
51,Acer negundo,140,Flowering Plants - Dicots,native,26673,2597570.457
52,Acer saccharinum,329,Flowering Plants - Dicots,weed,13300,186317.5217
53,Achillea millefolium,967,Flowering Plants - Dicots,native,46449,6939162.515
54,Achlys californica,1,Flowering Plants - Dicots,native,18,14162.58841
55,Achyrachaena mollis,6,Flowering Plants - Dicots,native,192,53109.70655
56,Achyronychia cooperi,6,Flowering Plants - Dicots,native,73,47545.83253
57,Acleisanthes longiflora,11,Flowering Plants - Dicots,2B.3,108,31360.0172
58,Acourtia microcephala,13,Flowering Plants - Dicots,native,86,36923.89122
59,Actaea rubra,63,Flowering Plants - Dicots,native,1670,663112.6217
60,Adenocaulon bicolor,21,Flowering Plants - Dicots,native,1010,128727.8125
61,Adenophyllum cooperi,5,Flowering Plants - Dicots,native,39,15427.10523
62,Adenophyllum porophylloides,1,Flowering Plants - Dicots,native,99,41981.95851
63,Adenostoma fasciculatum,10,Flowering Plants - Dicots,native,3550,91298.11458
64,Adenostoma fasciculatum var. fasciculatum,1,Flowering Plants - Dicots,native,72,29589.69365
65,Adenostoma fasciculatum var. obtusifolium,1,Flowering Plants - Dicots,native,23,5058.06729
66,Adenostoma sparsifolium,0,Flowering Plants - Dicots,native,383,19979.3658
67,Adiantum aleuticum,81,Ferns and relatives - Leptosporangiate Ferns,native,400,158570.4095
68,Adiantum capillus-veneris,30750,Ferns and relatives - Leptosporangiate Ferns,native,9610,850008.2081
69,Adiantum jordanii,10,Ferns and relatives - Leptosporangiate Ferns,native,147,57914.87047
70,Adiantum shastense,6,Ferns and relatives - Leptosporangiate Ferns,4.3,21,1264.516823
71,Adolphia californica,2,Flowering Plants - Dicots,2B.1,163,13656.78168
72,Adonis aestivalis,4238,Flowering Plants - Dicots,weed,3580,103329.089
73,Aegilops cylindrica,406,Flowering Plants - Monocots,weed,4490,71752.29747
74,Aegilops geniculata,570,Flowering Plants - Monocots,weed,4230,87323.91893
75,Aegilops triuncialis,721,Flowering Plants - Monocots,weed,3110,171974.2879
76,Aeonium arboreum var. arboreum,0,Flowering Plants - Dicots,weed,11,325.1614689
77,Aeonium haworthii,7,Flowering Plants - Dicots,weed,164,10477.42511
78,Aeschynomene rudis,23,Flowering Plants - Dicots,weed,322,10838.71563
79,Aesculus californica,47,Flowering Plants - Dicots,native,1580,83711.01365
80,Agastache parvifolia,1,Flowering Plants - Dicots,native,8,3793.550468
81,Agastache urticifolia,9,Flowering Plants - Dicots,native,452,82699.40019
82,Agave deserti,120994,Flowering Plants - Monocots,native,2430,16944.52542
83,Agave shawii var. shawii,104,Flowering Plants - Monocots,2B.1,44,7587.100935
84,Agave utahensis,12,Flowering Plants - Monocots,native,462,11633.55477
85,Agave utahensis var. eborispina,1,Flowering Plants - Monocots,1B.3,24,1517.420187
86,Agave utahensis var. nevadensis,1,Flowering Plants - Monocots,4.2,41,2781.93701
87,Ageratina adenophora,120,Flowering Plants - Dicots,weed,12270,148707.1783
88,Ageratina herbacea,3,Flowering Plants - Dicots,2B.3,116,29083.88692
89,Ageratina occidentalis,3,Flowering Plants - Dicots,native,90,41476.15178
90,Ageratina shastensis,1,Flowering Plants - Dicots,1B.2,16,1264.516823
91,Agoseris apargioides,1,Flowering Plants - Dicots,native,45,6069.680748
92,Agoseris apargioides var. apargioides,1,Flowering Plants - Dicots,native,4,1011.613458
93,Agoseris apargioides var. eastwoodiae,1,Flowering Plants - Dicots,native,5,2023.226916
94,Agoseris apargioides var. maritima,1,Flowering Plants - Dicots,native,15,252.9033645
95,Agoseris aurantiaca var. aurantiaca,1,Flowering Plants - Dicots,native,1171,14921.29851
96,Agoseris glauca var. glauca,1,Flowering Plants - Dicots,native,25,45269.70225
97,Agoseris grandiflora,9,Flowering Plants - Dicots,native,241,45269.70225
98,Agoseris grandiflora var. grandiflora,1,Flowering Plants - Dicots,native,8,17703.23552
99,Agoseris grandiflora var. leptophylla,1,Flowering Plants - Dicots,native,317,16438.71869
100,Agoseris heterophylla,9,Flowering Plants - Dicots,native,323,46534.21907
101,Agoseris heterophylla var. heterophylla,1,Flowering Plants - Dicots,native,10,1011.613458
102,Agoseris retrorsa,8,Flowering Plants - Dicots,native,89,42487.76524
103,Agrimonia gryposepala,20,Flowering Plants - Dicots,native,598,122405.2284
104,Agrimonia striata,21,Flowering Plants - Dicots,native,385,66766.48823
105,Agrostemma githago var. githago,0,Flowering Plants - Dicots,weed,134,0
106,Agrostis avenacea,10,Flowering Plants - Monocots,weed,922,7153.552316
107,Agrostis blasdalei,1,Flowering Plants - Monocots,1B.2,46,4299.357197
108,Agrostis capillaris,7888,Flowering Plants - Monocots,weed,29800,117311.0322
109,Agrostis densiflora,1,Flowering Plants - Monocots,native,54,8345.811029
110,Agrostis elliottiana,1,Flowering Plants - Monocots,native,191,13403.87832
111,Agrostis exarata,38,Flowering Plants - Monocots,native,742,169192.3509
112,Agrostis gigantea,78,Flowering Plants - Monocots,weed,12790,161424.6048
113,Agrostis hallii,7,Flowering Plants - Monocots,native,75,19726.46243
114,Agrostis hendersonii,1,Flowering Plants - Monocots,native,28,2023.226916
115,Agrostis hooveri,1,Flowering Plants - Monocots,1B.2,22,1517.420187
116,Agrostis humilis,1,Flowering Plants - Monocots,2B.3,274,12898.07159
117,Agrostis idahoensis,5,Flowering Plants - Monocots,native,164,38694.21477
118,Agrostis lacuna-vernalis,1,Flowering Plants - Monocots,1B.1,6,252.9033645
119,Agrostis microphylla,7,Flowering Plants - Monocots,native,89,17956.13888
120,Agrostis oregonensis,6,Flowering Plants - Monocots,native,90,12645.16823
121,Agrostis pallens,11,Flowering Plants - Monocots,native,343,61455.51757
122,Agrostis scabra,171,Flowering Plants - Monocots,native,2232,317140.8191
123,Agrostis stolonifera,34750,Flowering Plants - Monocots,weed,26704,2891697.07
124,Agrostis tandilensis,9,Flowering Plants - Monocots,weed,40,903.2263025
125,Agrostis variabilis,3,Flowering Plants - Monocots,native,126,38441.3114
126,Ailanthus altissima,9470,Flowering Plants - Dicots,weed,22200,1687371.248
127,Aira caryophyllea,43,Flowering Plants - Monocots,weed,3720,113336.8364
128,Aira elegans,4,Flowering Plants - Monocots,weed,960,110807.8028
129,Aira praecox,26,Flowering Plants - Monocots,weed,1970,86167.78926
130,Albizia julibrissin,107,Flowering Plants - Dicots,weed,6680,199432.3676
131,Alcea rosea,66,Flowering Plants - Dicots,weed,7470,210451.7285
132,Alhagi maurorum,29,Flowering Plants - Dicots,weed,4440,30601.3071
133,Aliciella hutchinsifolia,9,Flowering Plants - Dicots,native,37,5816.777384
134,Aliciella lottiae,2,Flowering Plants - Dicots,native,9,8851.617758
135,Aliciella micromeria,2,Flowering Plants - Dicots,native,23,8092.907664
136,Aliciella monoensis,2,Flowering Plants - Dicots,native,8,2781.93701
137,Aliciella ripleyi,2,Flowering Plants - Dicots,2B.3,20,3034.840374
138,Aliciella triodon,10,Flowering Plants - Dicots,2B.2,29,5058.06729
139,Alisma gramineum,28,Flowering Plants - Monocots,2B.2,1310,136567.8168
140,Alisma lanceolatum,23,Flowering Plants - Monocots,weed,1880,128438.7802
141,Alisma triviale,24,Flowering Plants - Monocots,native,12278,149971.6951
142,Allenrolfea occidentalis,37,Flowering Plants - Dicots,native,1360,68283.90842
143,Allionia incarnata var. incarnata,0,Flowering Plants - Dicots,native,4,7550.971889
144,Allionia incarnata var. villosa,1,Flowering Plants - Dicots,native,0,9357.424487
145,Allium abramsii,5,Flowering Plants - Monocots,1B.2,6,1011.613458
146,Allium acuminatum,13,Flowering Plants - Monocots,native,639,86745.85402
147,Allium amplectens,16,Flowering Plants - Monocots,native,231,41223.24841
148,Allium anceps,8,Flowering Plants - Monocots,native,47,8851.617758
149,Allium atrorubens,8,Flowering Plants - Monocots,native,36,505.806729
150,Allium atrorubens var. atrorubens,2,Flowering Plants - Monocots,2B.3,3,1770.323552
151,Allium atrorubens var. cristatum,2,Flowering Plants - Monocots,4.3,10,4299.357197
152,Allium bisceptrum,10,Flowering Plants - Monocots,native,68,14668.39514
153,Allium bolanderi,9,Flowering Plants - Monocots,native,29,3287.743739
154,Allium bolanderi var. bolanderi,2,Flowering Plants - Monocots,native,2,3034.840374
155,Allium bolanderi var. mirabile,1,Flowering Plants - Monocots,native,3,4805.163926
156,Allium burlewii,12,Flowering Plants - Monocots,native,24,5058.06729
157,Allium campanulatum,13,Flowering Plants - Monocots,native,89,40211.63496
158,Allium cepa,609473,Flowering Plants - Monocots,weed,275000,89744.56542
159,Allium cratericola,11,Flowering Plants - Monocots,native,28,8345.811029
160,Allium crispum,6,Flowering Plants - Monocots,native,22,5563.874019
161,Allium denticulatum,2,Flowering Plants - Monocots,native,11,0
162,Allium diabolense,8,Flowering Plants - Monocots,native,11,5058.06729
163,Allium dichlamydeum,8,Flowering Plants - Monocots,native,22,5058.06729
164,Allium falcifolium,7,Flowering Plants - Monocots,native,107,24784.52972
165,Allium fimbriatum,11,Flowering Plants - Monocots,native,58,4805.163926
166,Allium fimbriatum var. fimbriatum,2,Flowering Plants - Monocots,native,4,12139.3615
167,Allium fimbriatum var. mohavense,1,Flowering Plants - Monocots,native,3,3540.647103
168,Allium fimbriatum var. purdyi,3,Flowering Plants - Monocots,4.3,6,1011.613458
169,Allium haematochiton,10,Flowering Plants - Monocots,native,52,28578.08019
170,Allium hickmanii,6,Flowering Plants - Monocots,1B.2,26,758.7100935
171,Allium hoffmanii,6,Flowering Plants - Monocots,4.3,16,1264.516823
172,Allium howellii,6,Flowering Plants - Monocots,native,24,1264.516823
173,Allium howellii var. clokeyi,1,Flowering Plants - Monocots,1B.3,12,2023.226916
174,Allium howellii var. howellii,2,Flowering Plants - Monocots,4.3,2,3540.647103
175,Allium howellii var. sanbenitense,1,Flowering Plants - Monocots,1B.3,6,505.806729
176,Allium hyalinum,7,Flowering Plants - Monocots,native,27,6322.584113
177,Allium jepsonii,6,Flowering Plants - Monocots,1B.2,20,758.7100935
178,Allium lacunosum,4,Flowering Plants - Monocots,native,30,3793.550468
179,Allium lacunosum var. davisiae,1,Flowering Plants - Monocots,native,5,7840.0043
180,Allium lacunosum var. kernense,1,Flowering Plants - Monocots,native,2,505.806729
181,Allium lacunosum var. lacunosum,1,Flowering Plants - Monocots,native,5,4552.260561
182,Allium lacunosum var. micranthum,1,Flowering Plants - Monocots,native,3,2276.130281
183,Allium lemmonii,6,Flowering Plants - Monocots,native,20,10116.13458
184,Allium membranaceum,6,Flowering Plants - Monocots,native,11,3287.743739
185,Allium monticola,4,Flowering Plants - Monocots,native,17,2529.033645
186,Allium munzii,242,Flowering Plants - Monocots,1B.1,43,1770.323552
187,Allium neapolitanum,57,Flowering Plants - Monocots,weed,813,87143.27367
188,Allium nevadense,4,Flowering Plants - Monocots,2B.3,64,7081.294206
189,Allium obtusum,8,Flowering Plants - Monocots,native,24,6575.487477
190,Allium obtusum var. conspicuum,1,Flowering Plants - Monocots,native,5,1517.420187
191,Allium obtusum var. obtusum,2,Flowering Plants - Monocots,native,1,7081.294206
192,Allium paniculatum var. paniculatum,0,Flowering Plants - Monocots,weed,42,72.2581042
193,Allium parishii,4,Flowering Plants - Monocots,4.3,14,2529.033645
194,Allium parvum,6,Flowering Plants - Monocots,native,62,14668.39514
195,Allium peninsulare,12,Flowering Plants - Monocots,native,54,19220.6557
196,Allium peninsulare var. franciscanum,1,Flowering Plants - Monocots,1B.2,8,1011.613458
197,Allium peninsulare var. peninsulare,2,Flowering Plants - Monocots,native,2,12392.26486
198,Allium platycaule,7,Flowering Plants - Monocots,native,21,10369.03794
199,Allium praecox,6,Flowering Plants - Monocots,native,38,15174.20187
200,Allium punctum,2,Flowering Plants - Monocots,2B.2,7,4299.357197
201,Allium sanbornii,6,Flowering Plants - Monocots,native,47,758.7100935
202,Allium sanbornii var. congdonii,1,Flowering Plants - Monocots,4.3,10,1011.613458
203,Allium sanbornii var. sanbornii,2,Flowering Plants - Monocots,4.2,12,3034.840374
204,Allium sativum,102808,Flowering Plants - Monocots,weed,114000,65754.87482
205,Allium serra,6,Flowering Plants - Monocots,native,64,9104.521122
206,Allium sharsmithiae,5,Flowering Plants - Monocots,1B.3,10,1011.613458
207,Allium shevockii,5,Flowering Plants - Monocots,1B.3,14,505.806729
208,Allium siskiyouense,2,Flowering Plants - Monocots,4.3,22,10874.84467
209,Allium tolmiei var. tolmiei,1,Flowering Plants - Monocots,native,4,21749.68935
210,Allium tribracteatum,5,Flowering Plants - Monocots,1B.2,26,2781.93701
211,Allium triquetrum,39,Flowering Plants - Monocots,weed,1130,119948.453
212,Allium tuolumnense,6,Flowering Plants - Monocots,1B.2,19,252.9033645
213,Allium unifolium,8,Flowering Plants - Monocots,native,104,13656.78168
214,Allium validum,15,Flowering Plants - Monocots,native,217,30095.50038
215,Allium vineale,24,Flowering Plants - Monocots,weed,4710,126090.3918
216,Allium yosemitense,5,Flowering Plants - Monocots,1B.3,19,505.806729
217,Allophyllum divaricatum,18,Flowering Plants - Dicots,native,42,22255.49608
218,Allophyllum gilioides,17,Flowering Plants - Dicots,native,73,29083.88692
219,Allophyllum glutinosum,8,Flowering Plants - Dicots,native,35,23772.91626
220,Allophyllum integrifolium,16,Flowering Plants - Dicots,native,23,11127.74804
221,Allotropa virgata,17,Flowering Plants - Dicots,native,236,59938.09739
222,Almutaster pauciflorus,20,Flowering Plants - Dicots,2B.2,175,13909.68505
223,Alnus rhombifolia,5,Flowering Plants - Dicots,native,1560,73594.87907
224,Alnus rubra,34,Flowering Plants - Dicots,native,14056,135809.1067
225,Alnus viridis,145,Flowering Plants - Dicots,native,6735,41078.73224
226,Alopecurus aequalis,112,Flowering Plants - Monocots,native,4900,1601637.007
227,Alopecurus aequalis var. aequalis,4,Flowering Plants - Monocots,native,175,58167.77384
228,Alopecurus aequalis var. sonomensis,0,Flowering Plants - Monocots,1B.1,44,252.9033647
229,Alopecurus carolinianus,3,Flowering Plants - Monocots,native,448,42993.57197
230,Alopecurus geniculatus,29,Flowering Plants - Monocots,native,4526,2218721.217
231,Alopecurus myosuroides,158,Flowering Plants - Monocots,weed,9210,138157.4952
232,Alopecurus pratensis,78,Flowering Plants - Monocots,weed,14900,146936.8549
233,Alopecurus saccatus,5,Flowering Plants - Monocots,native,135,27313.56337
234,Aloysia wrightii,19,Flowering Plants - Dicots,4.3,376,46281.3157
235,Alternanthera caracasana,29,Flowering Plants - Dicots,weed,2354,26916.14381
236,Alternanthera philoxeroides,337,Flowering Plants - Dicots,weed,13300,172227.1912
237,Alyssum alyssoides,111,Flowering Plants - Dicots,weed,2330,87793.5966
238,Alyssum desertorum,33,Flowering Plants - Dicots,weed,1590,48810.34939
239,Amaranthus albus,49,Flowering Plants - Dicots,weed,4600,165254.2843
240,Amaranthus arenicola,23,Flowering Plants - Dicots,weed,196,8996.133973
241,Amaranthus blitoides,41,Flowering Plants - Dicots,native,5490,357605.3574
242,Amaranthus californicus,16,Flowering Plants - Dicots,native,96,17703.23552
243,Amaranthus caudatus,94,Flowering Plants - Dicots,weed,12600,88877.46817
244,Amaranthus cruentus,160,Flowering Plants - Dicots,weed,9760,102751.0242
245,Amaranthus deflexus,32,Flowering Plants - Dicots,weed,2240,120165.2273
246,Amaranthus fimbriatus,18,Flowering Plants - Dicots,native,169,24025.81963
247,Amaranthus hybridus,309,Flowering Plants - Dicots,weed,15500,129992.3295
248,Amaranthus hypochondriacus,1077,Flowering Plants - Dicots,weed,8280,40789.69982
249,Amaranthus palmeri,2821,Flowering Plants - Dicots,native,7650,156041.3759
250,Amaranthus powellii,79,Flowering Plants - Dicots,native,2500,301207.9071
251,Amaranthus retroflexus,154,Flowering Plants - Dicots,weed,29600,219520.1206
252,Amaranthus spinosus,266,Flowering Plants - Dicots,weed,12500,95850.37522
253,Amaranthus torreyi,1,Flowering Plants - Dicots,native,85,13656.78168
254,Amaranthus viridis,481,Flowering Plants - Dicots,weed,10900,141734.2714
255,Amaranthus watsonii,6,Flowering Plants - Dicots,4.3,80,26301.94991
256,Amblyopappus pusillus,22,Flowering Plants - Dicots,native,147,27566.46673
257,Ambrosia acanthicarpa,26,Flowering Plants - Dicots,native,542,91045.21122
258,Ambrosia ambrosioides,11,Flowering Plants - Dicots,native,459,54121.32
259,Ambrosia artemisiifolia,4063,Flowering Plants - Dicots,weed,22900,226601.4148
260,Ambrosia chamissonis,15,Flowering Plants - Dicots,native,718,60443.90412
261,Ambrosia chenopodiifolia,1,Flowering Plants - Dicots,2B.1,114,25796.14318
262,Ambrosia confertiflora,16,Flowering Plants - Dicots,native,656,120634.9049
263,Ambrosia dumosa,23,Flowering Plants - Dicots,native,3842,102678.766
264,Ambrosia eriocentra,25,Flowering Plants - Dicots,native,95,17197.42879
265,Ambrosia ilicifolia,7,Flowering Plants - Dicots,native,78,12898.07159
266,Ambrosia psilostachya,37,Flowering Plants - Dicots,native,3964,352800.1935
267,Ambrosia pumila,6,Flowering Plants - Dicots,1B.1,126,5310.970655
268,Ambrosia trifida,2469,Flowering Plants - Dicots,weed,8740,158209.1191
269,Amelanchier alnifolia,158,Flowering Plants - Dicots,native,7220,354570.517
270,Amelanchier alnifolia var. semiintegrifolia,44,Flowering Plants - Dicots,native,341,31360.0172
271,Amelanchier utahensis,55,Flowering Plants - Dicots,native,145,124681.3587
272,Ammannia coccinea,5,Flowering Plants - Dicots,native,1010,140614.2707
273,Ammannia robusta,7,Flowering Plants - Dicots,native,224,53109.70655
274,Ammi majus,69,Flowering Plants - Dicots,weed,6990,146503.3063
275,Ammi visnaga,69,Flowering Plants - Dicots,weed,4990,7587.100941
276,Ammophila arenaria,63,Flowering Plants - Monocots,weed,13750,440051.8542
277,Ammoselinum giganteum,0,Flowering Plants - Dicots,native,7,144.5162084
278,Amorpha californica,17,Flowering Plants - Dicots,native,195,24278.72299
279,Amorpha californica var. californica,8,Flowering Plants - Dicots,native,4,8092.907664
280,Amorpha californica var. napensis,5,Flowering Plants - Dicots,1B.2,20,2023.226916
281,Amorpha fruticosa,170,Flowering Plants - Dicots,native,15626,535902.2294
282,Amphipappus fremontii var. fremontii,2,Flowering Plants - Dicots,native,2,3287.743739
283,Amphipappus fremontii var. spinosus,3,Flowering Plants - Dicots,native,6,1770.323552
284,Amsinckia douglasiana,1,Flowering Plants - Dicots,4.2,203,12898.07159
285,Amsinckia eastwoodiae,8,Flowering Plants - Dicots,native,23,8092.907664
286,Amsinckia grandiflora,4,Flowering Plants - Dicots,1B.1,462,252.9033645
287,Amsinckia intermedia,6,Flowering Plants - Dicots,native,808,119876.1948
288,Amsinckia lunaris,1,Flowering Plants - Dicots,1B.2,55,2276.130281
289,Amsinckia lycopsoides,6,Flowering Plants - Dicots,native,285,45775.50897
290,Amsinckia menziesii,17,Flowering Plants - Dicots,native,733,116841.3544
291,Amsinckia retrorsa,4,Flowering Plants - Dicots,native,87,12645.16823
292,Amsinckia spectabilis,116,Flowering Plants - Dicots,native,234,18461.94561
293,Amsinckia spectabilis var. microcarpa,68,Flowering Plants - Dicots,native,7,2276.130281
294,Amsinckia spectabilis var. spectabilis,39,Flowering Plants - Dicots,native,26,7840.0043
295,Amsinckia tessellata,28,Flowering Plants - Dicots,native,394,103184.5727
296,Amsinckia vernicosa,12,Flowering Plants - Dicots,native,32,6575.487477
297,Amsonia tomentosa,3,Flowering Plants - Dicots,native,83,13909.68505
298,Anaphalis margaritacea,118,Flowering Plants - Dicots,native,2890,976206.987
299,Anchusa azurea,12,Flowering Plants - Dicots,weed,1900,154596.2139
300,Anchusa officinalis,19,Flowering Plants - Dicots,weed,4264,111349.7386
301,Ancistrocarphus filagineus,3,Flowering Plants - Dicots,native,56,28072.27346
302,Ancistrocarphus keilii,1,Flowering Plants - Dicots,1B.1,4,252.9033645
303,Andropogon glomeratus var. scabriglumis,4,Flowering Plants - Monocots,native,63,1806.452605
304,Andropogon virginicus var. virginicus,2,Flowering Plants - Monocots,weed,95,9068.392077
305,Androsace filiformis,8,Flowering Plants - Dicots,2B.3,399,129992.3294
306,Androsace occidentalis,91,Flowering Plants - Dicots,native,381,69295.52187
307,Androsace septentrionalis,43,Flowering Plants - Dicots,native,1862,414761.5178
308,Androstephium breviflorum,6,Flowering Plants - Monocots,2B.2,76,15427.10523
309,Anelsonia eurycarpa,25,Flowering Plants - Dicots,native,57,3034.840374
310,Anemone deltoidea,0,Flowering Plants - Dicots,native,204,6250.326013
311,Anemone lyallii,2,Flowering Plants - Dicots,native,182,10621.94131
312,Anemone multifida var. multifida,22,Flowering Plants - Dicots,2B.2,24,11886.45813
313,Anemone oregana var. oregana,0,Flowering Plants - Dicots,native,26,4443.873408
314,Anemone tuberosa,2,Flowering Plants - Dicots,native,148,39452.92486
315,Anemopsis californica,25,Flowering Plants - Dicots,native,1062,118864.5813
316,Anethum graveolens,164,Flowering Plants - Dicots,weed,19800,161713.6372
317,Angelica arguta,50,Flowering Plants - Dicots,native,228,15174.20187
318,Angelica breweri,22,Flowering Plants - Dicots,native,51,11380.6514
319,Angelica californica,12,Flowering Plants - Dicots,native,21,5310.970655
320,Angelica callii,16,Flowering Plants - Dicots,4.3,8,1011.613458
321,Angelica genuflexa,31,Flowering Plants - Dicots,native,867,33636.14748
322,Angelica hendersonii,16,Flowering Plants - Dicots,native,65,12898.07159
323,Angelica kingii,16,Flowering Plants - Dicots,4.2,26,4046.453832
324,Angelica lineariloba,26,Flowering Plants - Dicots,native,33,9104.521122
325,Angelica lucida,62,Flowering Plants - Dicots,4.2,604,65501.97141
326,Angelica tomentosa,9,Flowering Plants - Dicots,native,74,14921.29851
327,Anisocarpus madioides,14,Flowering Plants - Dicots,native,122,47545.83253
328,Anisocarpus scabridus,9,Flowering Plants - Dicots,1B.3,46,1264.516823
329,Anisocoma acaulis,2,Flowering Plants - Dicots,native,65,36670.98785
330,Anoda cristata,1,Flowering Plants - Dicots,weed,2021,78327.78495
331,Anoda pentaschista,0,Flowering Plants - Dicots,weed,54,5166.45445
332,Anredera cordifolia,37,Flowering Plants - Dicots,weed,6177,79989.72135
333,Antennaria argentea,2,Flowering Plants - Dicots,native,41,20485.17252
334,Antennaria corymbosa,39,Flowering Plants - Dicots,native,152,25290.33645
335,Antennaria dimorpha,9,Flowering Plants - Dicots,native,333,59432.29066
336,Antennaria flagellaris,9,Flowering Plants - Dicots,4.2,57,4552.260561
337,Antennaria geyeri,2,Flowering Plants - Dicots,native,54,12139.3615
338,Antennaria luzuloides,10,Flowering Plants - Dicots,native,117,13909.68505
339,Antennaria marginata,2,Flowering Plants - Dicots,2B.3,82,16944.52542
340,Antennaria media,54,Flowering Plants - Dicots,native,199,50327.76954
341,Antennaria microphylla,26,Flowering Plants - Dicots,native,653,74353.58916
342,Antennaria pulchella,2,Flowering Plants - Dicots,4.3,28,4046.453832
343,Antennaria racemosa,18,Flowering Plants - Dicots,native,242,47040.0258
344,Antennaria rosea,24,Flowering Plants - Dicots,native,910,212944.6329
345,Antennaria sawyeri,0,Flowering Plants - Dicots,1B.2,9,0
346,Antennaria suffrutescens,2,Flowering Plants - Dicots,4.3,29,3287.743739
347,Antennaria umbrinella,31,Flowering Plants - Dicots,native,244,55132.93346
348,Anthemis arvensis,18,Flowering Plants - Dicots,weed,5738,146503.3063
349,Anthemis cotula,33,Flowering Plants - Dicots,weed,5566,167277.5112
350,Anthoxanthum odoratum,83965,Flowering Plants - Monocots,weed,21000,3487284.493
351,Anthriscus caucalis,29,Flowering Plants - Dicots,weed,1468,87215.53177
352,Antirrhinum majus,26954,Flowering Plants - Dicots,weed,26500,218183.3456
353,Anulocaulis annulatus,7,Flowering Plants - Dicots,native,15,6069.680748
354,Apera interrupta,20,Flowering Plants - Monocots,weed,718,49388.41422
355,Apera spica-venti,32,Flowering Plants - Monocots,weed,5610,143468.4659
356,Aphanes occidentalis,11,Flowering Plants - Dicots,native,3020,9285.16639
