,Scientific.Name,seqs,Species.Group,CRPR,Literature.Count,area
3793,Lupinus excubitus,29,Flowering Plants - Dicots,native,113,35153.56767
3794,Lupinus excubitus var. austromontanus,8,Flowering Plants - Dicots,native,10,4805.163926
3795,Lupinus excubitus var. excubitus,4,Flowering Plants - Dicots,native,8,9357.424487
3796,Lupinus excubitus var. hallii,8,Flowering Plants - Dicots,native,15,12392.26486
3797,Lupinus excubitus var. johnstonii,2,Flowering Plants - Dicots,native,4,2781.93701
3798,Lupinus excubitus var. medius,2,Flowering Plants - Dicots,native,5,1517.420187
3799,Lupinus flavoculatus,0,Flowering Plants - Dicots,native,30,11380.6514
3800,Lupinus formosus,14,Flowering Plants - Dicots,native,222,33383.24411
3801,Lupinus formosus var. formosus,4,Flowering Plants - Dicots,native,11,13656.78168
3802,Lupinus formosus var. robustus,2,Flowering Plants - Dicots,native,7,3540.647103
3803,Lupinus fulcratus,1,Flowering Plants - Dicots,native,62,3287.743739
3804,Lupinus gracilentus,1,Flowering Plants - Dicots,1B.3,8,252.9033645
3805,Lupinus grayi,6,Flowering Plants - Dicots,native,23,8851.617758
3806,Lupinus guadalupensis,3,Flowering Plants - Dicots,4.2,91,1011.613458
3807,Lupinus hirsutissimus,19,Flowering Plants - Dicots,native,59,46534.21907
3808,Lupinus holmgrenianus,0,Flowering Plants - Dicots,2B.3,18,216.7743126
3809,Lupinus hyacinthinus,1,Flowering Plants - Dicots,native,7,1770.323552
3810,Lupinus lapidicola,1,Flowering Plants - Dicots,4.3,14,2781.93701
3811,Lupinus latifolius,29,Flowering Plants - Dicots,native,629,57661.96711
3812,Lupinus latifolius var. barbatus,0,Flowering Plants - Dicots,native,3,72.2581042
3813,Lupinus latifolius var. viridifolius,1,Flowering Plants - Dicots,native,6,4299.357197
3814,Lupinus lepidus,107,Flowering Plants - Dicots,native,726,23267.10953
3815,Lupinus leucophyllus,7,Flowering Plants - Dicots,native,312,29083.88692
3816,Lupinus littoralis,6,Flowering Plants - Dicots,native,150,14415.49178
3817,Lupinus longifolius,10,Flowering Plants - Dicots,native,47,15680.0086
3818,Lupinus ludovicianus,2,Flowering Plants - Dicots,1B.2,10,1517.420187
3819,Lupinus luteolus,11,Flowering Plants - Dicots,native,49,16185.81533
3820,Lupinus magnificus,1,Flowering Plants - Dicots,native,16,505.806729
3821,Lupinus magnificus var. glarecola,1,Flowering Plants - Dicots,4.3,2,1770.323552
3822,Lupinus magnificus var. magnificus,1,Flowering Plants - Dicots,1B.2,2,1517.420187
3823,Lupinus nanus,54,Flowering Plants - Dicots,native,774,57156.16038
3824,Lupinus nevadensis,4,Flowering Plants - Dicots,4.3,9,3034.840374
3825,Lupinus nipomensis,1,Flowering Plants - Dicots,1B.1,34,252.9033645
3826,Lupinus obtusilobus,1,Flowering Plants - Dicots,native,26,4552.260561
3827,Lupinus odoratus,7,Flowering Plants - Dicots,native,41,12898.07159
3828,Lupinus onustus,2,Flowering Plants - Dicots,native,13,3793.550468
3829,Lupinus pachylobus,4,Flowering Plants - Dicots,native,16,5816.777384
3830,Lupinus padre-crowleyi,1,Flowering Plants - Dicots,1B.2,21,1011.613458
3831,Lupinus peirsonii,1,Flowering Plants - Dicots,1B.3,10,758.7100935
3832,Lupinus polyphyllus,140,Flowering Plants - Dicots,native,5880,2657002.747
3833,Lupinus polyphyllus var. pallidipes,1,Flowering Plants - Dicots,native,1,1264.516823
3834,Lupinus polyphyllus var. polyphyllus,2,Flowering Plants - Dicots,native,130,16185.81533
3835,Lupinus pratensis,1,Flowering Plants - Dicots,native,10,3793.550468
3836,Lupinus pratensis var. eriostachyus,1,Flowering Plants - Dicots,native,2,505.806729
3837,Lupinus pratensis var. pratensis,1,Flowering Plants - Dicots,native,3,1770.323552
3838,Lupinus rivularis,8,Flowering Plants - Dicots,native,139,18714.84897
3839,Lupinus saxosus,1,Flowering Plants - Dicots,native,10,1264.516823
3840,Lupinus sericatus,1,Flowering Plants - Dicots,1B.2,23,1517.420187
3841,Lupinus shockleyi,3,Flowering Plants - Dicots,native,24,12139.3615
3842,Lupinus sparsiflorus,6,Flowering Plants - Dicots,native,234,1517.420187
3843,Lupinus spectabilis,1,Flowering Plants - Dicots,1B.2,12,758.7100935
3844,Lupinus stiversii,3,Flowering Plants - Dicots,native,22,19979.3658
3845,Lupinus succulentus,10,Flowering Plants - Dicots,native,416,74353.58916
3846,Lupinus tidestromii,1,Flowering Plants - Dicots,1B.1,89,252.9033645
3847,Lupinus tracyi,1,Flowering Plants - Dicots,4.3,10,8851.617758
3848,Lupinus truncatus,8,Flowering Plants - Dicots,native,56,43246.47533
3849,Lupinus uncialis,3,Flowering Plants - Dicots,2B.2,22,4299.357197
3850,Luzula comosa,8,Flowering Plants - Monocots,native,190,65501.97141
3851,Luzula comosa var. comosa,0,Flowering Plants - Monocots,native,10,6828.390842
3852,Luzula comosa var. laxa,1,Flowering Plants - Monocots,native,7,24025.81963
3853,Luzula divaricata,5,Flowering Plants - Monocots,native,47,12898.07159
3854,Luzula orestera,0,Flowering Plants - Monocots,native,13,6828.390842
3855,Luzula parviflora,28,Flowering Plants - Monocots,native,835,272629.8269
3856,Luzula piperi,11,Flowering Plants - Monocots,native,96,16185.81533
3857,Luzula spicata,40,Flowering Plants - Monocots,native,1873,559169.3389
3858,Luzula subcongesta,3,Flowering Plants - Monocots,native,26,8345.811029
3859,Lychnis coronaria,46,Flowering Plants - Dicots,weed,2007,0
3860,Lycium andersonii,49,Flowering Plants - Dicots,native,1142,83458.11029
3861,Lycium barbarum,684,Flowering Plants - Dicots,weed,35652,119659.4206
